title,authors,affiliations,publication,Date Added To Xplore,year,Volume,Issue,Start Page,End Page,abstract,issn,ISBNs,doi,funding,PDF Link,author_keywords,ieee_terms,mesh_terms,citation_count,Patent Citation Count,reference_count,License,Online Date,Issue Date,Meeting Date,publisher,document_type,text_corpus,sensors,algorithms,applications,environments,datasets
Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment,A. Salib; M. Moussa; A. Moussa; N. El-Sheimy,"Department of Geomatics, University of Calgary, Calgary, Canada; Department of Geomatics, University of Calgary, Calgary, Canada; Electrical and Computer Engineering Department, Port-Said University, Egypt University of Calgary, Calgary, Canada; Dept. Department of Geomatics, University of Calgary, Calgary, Canada",2020 IEEE 92nd Vehicular Technology Conference (VTC2020-Fall),15 Feb 2021,2020,,,1,6,"Self-driving vehicles have attained a huge research interest as it offers new opportunities for more secure and convenient transportation. Vision is considered one of the significant inputs to self-driving systems in terms of obstacle avoidance and navigation purposes. Recently, Consumer Portable Devices (CPDs) such as smartphones and tablets are continuously equipped with enhanced sensors and cameras that can be used in the navigation or obstacle avoidance applications. This paper presents an approach for enhancing the land vehicle navigation in GNSS denied environment by integrating the Visual Odometry (VO), On-Board Diagnostics information, and inertial sensors. The visual odometry is collected through a CPD camera (smartphone) which is mounted on the vehicle dashboard where the vehicle change of heading is estimated. On the other hand, the vehicle forward velocity information is acquired through On-Board Diagnostics II (OBD-II). In this paper, the proposed approach is a Global Navigation Satellite System/Inertial Navigation System (GNSS/INS) loosely coupled integration scheme where the VO heading change and the forward OBD-II velocity are used to aid the low-cost INS during GNSS signal outage to limit its drift through Extended Kalman Filter (EKF). The employed visual odometry estimates the orientation change between successive frames which requires a feature extraction step to extract the features in every frame followed by primary matching to match the features and estimate the rotation between frames. Experimental road test is implemented, and the results show significant position accuracy enhancement using the proposed approach compared with typical Dead Reckoning (DR) solution where the average position Root Mean Square Error (RMSE) of the DR is around 14 meters for 60 s GNSS signal outage while the average position RMSE for the proposed navigation approach is 4.40 meters during the same GNSS signal outage.",2577-2465,978-1-7281-9484-4,10.1109/VTC2020-Fall49728.2020.9348698,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9348698,Visual Odometry;SURF;RANSAC;Dead Reckoning;GNSS/INS integration,Global navigation satellite system;Navigation;Inertial sensors;Feature extraction;Land vehicles;Smart phones;Visual odometry,,8,,24,IEEE,15 Feb 2021,18 Nov.-16 Dec. 2020,18 Nov.-16 Dec. 2020,IEEE,IEEE Conferences,"visual odometry/inertial integration for enhanced land vehicle navigation in gnss denied environment self-driving vehicles have attained a huge research interest as it offers new opportunities for more secure and convenient transportation. vision is considered one of the significant inputs to self-driving systems in terms of obstacle avoidance and navigation purposes. recently, consumer portable devices (cpds) such as smartphones and tablets are continuously equipped with enhanced sensors and cameras that can be used in the navigation or obstacle avoidance applications. this paper presents an approach for enhancing the land vehicle navigation in gnss denied environment by integrating the visual odometry (vo), on-board diagnostics information, and inertial sensors. the visual odometry is collected through a cpd camera (smartphone) which is mounted on the vehicle dashboard where the vehicle change of heading is estimated. on the other hand, the vehicle forward velocity information is acquired through on-board diagnostics ii (obd-ii). in this paper, the proposed approach is a global navigation satellite system/inertial navigation system (gnss/ins) loosely coupled integration scheme where the vo heading change and the forward obd-ii velocity are used to aid the low-cost ins during gnss signal outage to limit its drift through extended kalman filter (ekf). the employed visual odometry estimates the orientation change between successive frames which requires a feature extraction step to extract the features in every frame followed by primary matching to match the features and estimate the rotation between frames. experimental road test is implemented, and the results show significant position accuracy enhancement using the proposed approach compared with typical dead reckoning (dr) solution where the average position root mean square error (rmse) of the dr is around 14 meters for 60 s gnss signal outage while the average position rmse for the proposed navigation approach is 4.40 meters during the same gnss signal outage. visual odometry;surf;ransac;dead reckoning;gnss/ins integration global navigation satellite system;navigation;inertial sensors;feature extraction;land vehicles;smart phones;visual odometry",Camera; IMU; GNSS/GPS,EKF; Visual Odometry,Autonomous Car; Spacecraft,Urban,
An Integrated System Using Federated Kalman Filter for UGV Navigation in GNSS-denied Environment,M. Wang; C. Zhai; Y. Yang; K. Shen,"School of Automation, Beijing Institute of Technology, Beijing, P. R. China; School of Automation, Beijing Institute of Technology, Beijing, P. R. China; School of Automation, Beijing Institute of Technology, Beijing, P. R. China; School of Automation, Beijing Institute of Technology, Beijing, P. R. China",2019 Chinese Control Conference (CCC),17 Oct 2019,2019,,,3999,4004,"In global navigation satellite system (GNSS) denied areas such as urban canyons, accurate positioning for unmanned ground vehicles (UGV) is a challenging issue. This paper presents a novel method of an integrated navigation system which combines the strapdown inertial navigation system (SINS), GNSS, and the vehicle kinematics model. The integrated navigation system is built using a federated Kalman filter (FKF). For coping with abnormal GNSS signals, we make an adaptive modification of the classical Kalman filter using the proposed adaptive factor. In addition, the vehicle model is combined with four-channel wheel speed information and vehicle steering information to make up for the deficiency of information in traditional kinematics constraints. In order to maintain the high accuracy of the system, we propose a method for adaptively determining information sharing coefficients, which can assign weights to both local filters according to their own confidences. The experiments conducted in urban areas show that the new integrated navigation strategy can guarantee meter-level positioning accuracy within 130 seconds in GNSS-denied environments.",1934-1768,978-9-8815-6397-2,10.23919/ChiCC.2019.8865416,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8865416,Multi-sensor;Federated Kalman Filter;Integrated Navigation;Unmanned Ground Vehicle;GNSS-denied Environment,Global navigation satellite system;Mathematical model;Kalman filters;Adaptation models;Estimation,,2,,15,,17 Oct 2019,27-30 July 2019,27-30 July 2019,IEEE,IEEE Conferences,"an integrated system using federated kalman filter for ugv navigation in gnss-denied environment in global navigation satellite system (gnss) denied areas such as urban canyons, accurate positioning for unmanned ground vehicles (ugv) is a challenging issue. this paper presents a novel method of an integrated navigation system which combines the strapdown inertial navigation system (sins), gnss, and the vehicle kinematics model. the integrated navigation system is built using a federated kalman filter (fkf). for coping with abnormal gnss signals, we make an adaptive modification of the classical kalman filter using the proposed adaptive factor. in addition, the vehicle model is combined with four-channel wheel speed information and vehicle steering information to make up for the deficiency of information in traditional kinematics constraints. in order to maintain the high accuracy of the system, we propose a method for adaptively determining information sharing coefficients, which can assign weights to both local filters according to their own confidences. the experiments conducted in urban areas show that the new integrated navigation strategy can guarantee meter-level positioning accuracy within 130 seconds in gnss-denied environments. multi-sensor;federated kalman filter;integrated navigation;unmanned ground vehicle;gnss-denied environment global navigation satellite system;mathematical model;kalman filters;adaptation models;estimation",IMU; Wheel Encoder; GNSS/GPS,,UGV; Spacecraft,Urban,
Nonlinear Model Predictive Control for Self-Driving cars Trajectory Tracking in GNSS-denied environments,A. Barzegar; O. Doukhi; D. -J. Lee; Y. -h. Jo,"Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea; Department of Mechanical Engineering, Kunsan National University, Gunsan, Korea","2020 20th International Conference on Control, Automation and Systems (ICCAS)",1 Dec 2020,2020,,,750,755,"In this paper, a trajectory tracking control problem for a self-driving vehicle is addressed using a nonlinear model predictive controller (NMPC). The solution relies on a direct multiple shooting method for discretizing the simplified differentially flat bicycle model which was used as a prediction plant to reduce the computational cost of NMPC. The solution makes use of the long prediction horizon of the NMPC, which allows safe trajectory tracking and achieving a user-specified goal location by controlling the longitudinal velocity and the steering angle. GNSS-denied navigation algorithm of the vehicle employs Visual Inertial Odometry (VIO) to obtain the position and orientation of car without using GNSS data. Simulation experiments is conducted to show the effectiveness of the system in tracking desired trajectories in high precision with speeds up to 1 m/s.",2642-3901,978-89-93215-20-5,10.23919/ICCAS50221.2020.9268233,Korea Institute for Advancement of Technology; National Research Foundation; National Research Foundation;,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9268233,Trajectory tracking;NMPC;Nonlinear Model Predictive Control;Longitudinal control;Direct multiple shooting method;GPS denied navigation;Visual Inertial Odometry;GNSS-denied Navigation,Predictive models;Automobiles;Trajectory tracking;Trajectory;Navigation;Visualization;Heuristic algorithms,,6,,17,,1 Dec 2020,13-16 Oct. 2020,13-16 Oct. 2020,IEEE,IEEE Conferences,"nonlinear model predictive control for self-driving cars trajectory tracking in gnss-denied environments in this paper, a trajectory tracking control problem for a self-driving vehicle is addressed using a nonlinear model predictive controller (nmpc). the solution relies on a direct multiple shooting method for discretizing the simplified differentially flat bicycle model which was used as a prediction plant to reduce the computational cost of nmpc. the solution makes use of the long prediction horizon of the nmpc, which allows safe trajectory tracking and achieving a user-specified goal location by controlling the longitudinal velocity and the steering angle. gnss-denied navigation algorithm of the vehicle employs visual inertial odometry (vio) to obtain the position and orientation of car without using gnss data. simulation experiments is conducted to show the effectiveness of the system in tracking desired trajectories in high precision with speeds up to 1 m/s. trajectory tracking;nmpc;nonlinear model predictive control;longitudinal control;direct multiple shooting method;gps denied navigation;visual inertial odometry;gnss-denied navigation predictive models;automobiles;trajectory tracking;trajectory;navigation;visualization;heuristic algorithms",Camera; IMU; GNSS/GPS,Visual-Inertial Odometry,Autonomous Car,Simulation,
A Hierarchical Clustered Relative Localization Algorithm in GNSS-denied UAV Swarm Environments,Y. Luo; P. Hu; J. Tian; S. Hang; H. Jiang,"College of Information Engineering, Southwest University of Science and Technology, China; College of Information Engineering, Southwest University of Science and Technology, China; China Academy of Engineering Physics, Institute of Electronic Engineering, Mianyang, China; College of Information Engineering, Southwest University of Science and Technology, China; College of Information Engineering, Southwest University of Science and Technology, China",GLOBECOM 2025 - 2025 IEEE Global Communications Conference,19 Mar 2026,2025,,,3396,3401,"Unmanned Aerial Vehicle (UAV) swarm applications, which are highly dependent on location information for task execution, encounter significant limitations when GNSS signal is denied under some harsh scenarios, such as military conflict environment. In such scenarios, unknown location information will lead to the failure of path planning, significantly impact task efficiency, and pose substantial challenges to location-based communication technologies. To address the above limitations, this paper proposes a Hierarchical Clustered Relative Localization Algorithm (DH-RLA). Based on the topological structure of nodes, the algorithm hierarchically partitions UAV nodes operating in GNSS-denied environments and adopts Multilateration Localization Algorithm (MLA) and Multi-Dimensional Scaling (MDS)-MAP algorithm for outer and inner layer localization, respectively. To ensure the accuracy and increase the speed of localization, a connectivity-enhanced anchor-assisted clustering algorithm is introduced to cluster the inner-layer nodes, enabling parallel execution of the corresponding localization algorithm within each cluster. Simulation results demonstrate that the proposed DH-RLA improves localization accuracy by 44% and 22.22% compared to MLA and MDS-MAP algorithm.",2576-6813,979-8-3315-7781-0,10.1109/GLOBECOM59602.2025.11432255,National Natural Science Foundation of China; Innovation Fund;,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11432255,GNSS-denied UAV swarm environments;relative localization;hierarchical localization;clustering,Location awareness;Global navigation satellite system;Accuracy;Simulation;Clustering algorithms;Autonomous aerial vehicles;Path planning;Partitioning algorithms;Global communication;Time complexity,,0,,15,IEEE,19 Mar 2026,8-12 Dec. 2025,8-12 Dec. 2025,IEEE,IEEE Conferences,"a hierarchical clustered relative localization algorithm in gnss-denied uav swarm environments unmanned aerial vehicle (uav) swarm applications, which are highly dependent on location information for task execution, encounter significant limitations when gnss signal is denied under some harsh scenarios, such as military conflict environment. in such scenarios, unknown location information will lead to the failure of path planning, significantly impact task efficiency, and pose substantial challenges to location-based communication technologies. to address the above limitations, this paper proposes a hierarchical clustered relative localization algorithm (dh-rla). based on the topological structure of nodes, the algorithm hierarchically partitions uav nodes operating in gnss-denied environments and adopts multilateration localization algorithm (mla) and multi-dimensional scaling (mds)-map algorithm for outer and inner layer localization, respectively. to ensure the accuracy and increase the speed of localization, a connectivity-enhanced anchor-assisted clustering algorithm is introduced to cluster the inner-layer nodes, enabling parallel execution of the corresponding localization algorithm within each cluster. simulation results demonstrate that the proposed dh-rla improves localization accuracy by 44% and 22.22% compared to mla and mds-map algorithm. gnss-denied uav swarm environments;relative localization;hierarchical localization;clustering location awareness;global navigation satellite system;accuracy;simulation;clustering algorithms;autonomous aerial vehicles;path planning;partitioning algorithms;global communication;time complexity",GNSS/GPS,,UAV/Drone; Multi-Robot/Swarm; Spacecraft,Simulation,
UAV Navigation and Mission Execution in GPS-Denied Environment,J. -T. Zou; Y. -J. Cheng,"Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yunlin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yunlin, Taiwan",2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),27 Oct 2025,2025,,,319,320,"Precise drone navigation in GNSS-denied environments remains challenging. GPS fails in obstructed areas like cities and forests, limiting applications. Alternatives such as SLAM, INS, and radio-based localization (Wi-Fi, 5G, UWB) improve accuracy and stability. Integrating these technologies enables drones for agriculture, logistics, surveillance, and rescue missions. AI advancements will further enhance adaptability and intelligence.",2575-8284,979-8-3315-8741-3,10.1109/ICCE-Taiwan66881.2025.11207940,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207940,GNSS-deny;outdoor positioning;autonomous flight;visual positioning;inertial navigation,Visualization;Accuracy;Simultaneous localization and mapping;Surveillance;Urban areas;Radio navigation;Odometry;Wireless fidelity;Drones;Videos,,1,,5,IEEE,27 Oct 2025,16-18 July 2025,16-18 July 2025,IEEE,IEEE Conferences,"uav navigation and mission execution in gps-denied environment precise drone navigation in gnss-denied environments remains challenging. gps fails in obstructed areas like cities and forests, limiting applications. alternatives such as slam, ins, and radio-based localization (wi-fi, 5g, uwb) improve accuracy and stability. integrating these technologies enables drones for agriculture, logistics, surveillance, and rescue missions. ai advancements will further enhance adaptability and intelligence. gnss-deny;outdoor positioning;autonomous flight;visual positioning;inertial navigation visualization;accuracy;simultaneous localization and mapping;surveillance;urban areas;radio navigation;odometry;wireless fidelity;drones;videos",Camera; IMU; UWB; WiFi; GNSS/GPS,,UAV/Drone; Agricultural; Indoor Robot,Outdoor; Urban,
Localization Using Single Camera and Lidar in GPS-Denied Environments,H. Lezki; İ. Ş. Yetik,"HAVELSAN A.Ş., Ankara, Türkiye; HAVELSAN A.Ş., Ankara, Türkiye",2020 28th Signal Processing and Communications Applications Conference (SIU),7 Jan 2021,2020,,,1,4,"Location estimation for ground and air vehicles is mostly realized by fusion of global positioning system (gps / gnss) and data from sensors such as inertial measurement unit, barometer, wheel odometer, etc. However, in case GPS is not available, location estimation is an open problem. Considering the various advantages and disadvantages of all these sensors that can be used for position estimation, it is noticed that there is no single and absolute solution to the problem of threedimensional, 6 degrees-of-freedom localization. Especially in GPS-denied environments, precise localization methods for ground and air vehicles are still an important research area. While these periods of studies on autonomous vehicles gained speed, the localization problem with camera and lidar has been an alternative research topic which has strengthened its place in the literature. In this study; a new solution is proposed that addresses the problem of 6-DOF localization using a single camera and lidar where gps signal is not available.",2165-0608,978-1-7281-7206-4,10.1109/SIU49456.2020.9302512,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302512,Visual-Lidar Odometry;localization using camera;localization in gps-denied environment;computer vision,Laser radar;Global Positioning System;Robots;Cameras;Estimation;Real-time systems;Visual odometry,,8,,0,IEEE,7 Jan 2021,5-7 Oct. 2020,5-7 Oct. 2020,IEEE,IEEE Conferences,"localization using single camera and lidar in gps-denied environments location estimation for ground and air vehicles is mostly realized by fusion of global positioning system (gps / gnss) and data from sensors such as inertial measurement unit, barometer, wheel odometer, etc. however, in case gps is not available, location estimation is an open problem. considering the various advantages and disadvantages of all these sensors that can be used for position estimation, it is noticed that there is no single and absolute solution to the problem of threedimensional, 6 degrees-of-freedom localization. especially in gps-denied environments, precise localization methods for ground and air vehicles are still an important research area. while these periods of studies on autonomous vehicles gained speed, the localization problem with camera and lidar has been an alternative research topic which has strengthened its place in the literature. in this study; a new solution is proposed that addresses the problem of 6-dof localization using a single camera and lidar where gps signal is not available. visual-lidar odometry;localization using camera;localization in gps-denied environment;computer vision laser radar;global positioning system;robots;cameras;estimation;real-time systems;visual odometry",LiDAR; Camera; Monocular; IMU; Radar; Barometer; Wheel Encoder; GNSS/GPS,Visual Odometry,Generic/Other,,
"LIVW-Localization: A Multimodal Information Fused Vehicle Localization Method for Complex, Large-Scale, and GNSS-Denied Environments",J. Wang; Z. Shen; Z. Lan; C. Pang; Z. Fang,"Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China",IEEE Sensors Journal,2 Oct 2024,2024,24,19.0,30315,30328,"Accurate and robust vehicle localization is a key issue in autonomous driving. However, traditional vehicle localization methods usually have issues such as excessive reliance on global navigation satellite system (GNSS), low localization accuracy, and poor robustness to sensor degradation environments. To solve the above problems, we propose a map-based vehicle localization method that fuses LiDAR, vision, inertial measurement unit (IMU), and wheel encoder, named LIVW-Localization. To fully utilize the complementary advantages of LiDAR and vision, we use a prebuilt LiDAR map and real-time visual patches to construct a local visual map. To extract more stable and high-quality visual feature points, we propose a method to reuse the nearest neighbor points retrieved from real-time LiDAR scan in a point cloud map as the initial selecting criteria for visual feature points. Moreover, we propose an efficient method to fuse a single wheel encoder to improve the vehicle localization accuracy. To validate the performance of the proposed method, qualitative and quantitative experiments are conducted in various complex scenes, such as tunnels, long corridor-like outdoor environments, and highways. The experimental results show that our method outperforms the state-of-the-art methods, and the root-mean-square errors (RMSEs) of translation and rotation are 0.395 m and 0.007 rad, respectively, in the 19.376-km highway LHW-2 dataset. The implementation code of this article will be open source at https://github.com/NEU-REAL/LIVW-Localization.",1558-1748,,10.1109/JSEN.2024.3434491,National Natural Science Foundation of China(grant numbers:62073066); Fundamental Research Funds for the Central Universities(grant numbers:N2226001); 111 Project(grant numbers:B16009);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10634123,Global navigation satellite system (GNSS)-denied;large scale;multimodal fusion;vehicle localization,Location awareness;Sensors;Laser radar;Visualization;Feature extraction;Accuracy;Cameras,,1,,40,IEEE,12 Aug 2024,"1 Oct.1, 2024",,IEEE,IEEE Journals,"livw-localization: a multimodal information fused vehicle localization method for complex, large-scale, and gnss-denied environments accurate and robust vehicle localization is a key issue in autonomous driving. however, traditional vehicle localization methods usually have issues such as excessive reliance on global navigation satellite system (gnss), low localization accuracy, and poor robustness to sensor degradation environments. to solve the above problems, we propose a map-based vehicle localization method that fuses lidar, vision, inertial measurement unit (imu), and wheel encoder, named livw-localization. to fully utilize the complementary advantages of lidar and vision, we use a prebuilt lidar map and real-time visual patches to construct a local visual map. to extract more stable and high-quality visual feature points, we propose a method to reuse the nearest neighbor points retrieved from real-time lidar scan in a point cloud map as the initial selecting criteria for visual feature points. moreover, we propose an efficient method to fuse a single wheel encoder to improve the vehicle localization accuracy. to validate the performance of the proposed method, qualitative and quantitative experiments are conducted in various complex scenes, such as tunnels, long corridor-like outdoor environments, and highways. the experimental results show that our method outperforms the state-of-the-art methods, and the root-mean-square errors (rmses) of translation and rotation are 0.395 m and 0.007 rad, respectively, in the 19.376-km highway lhw-2 dataset. the implementation code of this article will be open source at https://github.com/neu-real/livw-localization. global navigation satellite system (gnss)-denied;large scale;multimodal fusion;vehicle localization location awareness;sensors;laser radar;visualization;feature extraction;accuracy;cameras",LiDAR; Camera; IMU; Radar; Wheel Encoder; GNSS/GPS,,Spacecraft,Indoor; Outdoor; Urban,
State of the Art in Vision-Based Localization Techniques for Autonomous Navigation Systems,Y. Alkendi; L. Seneviratne; Y. Zweiri,"Khalifa University Center for Autonomous Robotic Systems (KUCARS), Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Khalifa University Center for Autonomous Robotic Systems (KUCARS), Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Khalifa University Center for Autonomous Robotic Systems (KUCARS), Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates",IEEE Access,31 May 2021,2021,9,,76847,76874,"Vision-based localization systems, namely visual odometry (VO) and visual inertial odometry (VIO), have attracted great attention recently. They are regarded as critical modules for building fully autonomous systems. The simplicity of visual and inertial state estimators, along with their applicability in resource-constrained platforms motivated robotic community to research and develop novel approaches that maximize their robustness and reliability. In this paper, we surveyed state-of-the-art VO and VIO approaches. In addition, studies related to localization in visually degraded environments are also reviewed. The reviewed VO techniques and related studies have been analyzed in terms of key design aspects including appearance, feature, and learning based approaches. On the other hand, research studies related to VIO have been categorized based on the degree and type of fusion process into loosely-coupled, semi-tightly coupled, or tightly-coupled approaches and filtering or optimization-based paradigms. This paper provides an overview of the main components of visual localization, key design aspects highlighting the pros and cons of each approach, and compares the latest research works in this field. Finally, a detailed discussion of the challenges associated with the reviewed approaches and future research considerations are formulated.",2169-3536,,10.1109/ACCESS.2021.3082778,"Khalifa University of Science and Technology, Aerospace Engineering Department; Khalifa University of Science and Technology(grant numbers:RC1-2018-KUCARS);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438708,Ego-motion estimation;GNSS-denied;self-localization;VIO;visual inertial odometry;visual odometry;VO,Robots;Location awareness;Simultaneous localization and mapping;Cameras;Visualization;Global Positioning System;Navigation,,90,,225,CCBY,21 May 2021,2021,,IEEE,IEEE Journals,"state of the art in vision-based localization techniques for autonomous navigation systems vision-based localization systems, namely visual odometry (vo) and visual inertial odometry (vio), have attracted great attention recently. they are regarded as critical modules for building fully autonomous systems. the simplicity of visual and inertial state estimators, along with their applicability in resource-constrained platforms motivated robotic community to research and develop novel approaches that maximize their robustness and reliability. in this paper, we surveyed state-of-the-art vo and vio approaches. in addition, studies related to localization in visually degraded environments are also reviewed. the reviewed vo techniques and related studies have been analyzed in terms of key design aspects including appearance, feature, and learning based approaches. on the other hand, research studies related to vio have been categorized based on the degree and type of fusion process into loosely-coupled, semi-tightly coupled, or tightly-coupled approaches and filtering or optimization-based paradigms. this paper provides an overview of the main components of visual localization, key design aspects highlighting the pros and cons of each approach, and compares the latest research works in this field. finally, a detailed discussion of the challenges associated with the reviewed approaches and future research considerations are formulated. ego-motion estimation;gnss-denied;self-localization;vio;visual inertial odometry;visual odometry;vo robots;location awareness;simultaneous localization and mapping;cameras;visualization;global positioning system;navigation",Camera; IMU; GNSS/GPS,Visual Odometry; Visual-Inertial Odometry,Generic/Other,Indoor; Outdoor,
Demonstration of Radio SLAM with Terrestrial Signals of Opportunity in a GPS-Denied Environment,A. Sel; Z. M. Kassas,"Department of Electrical and Computer Engineering, The Ohio State University, Columbus, OH, USA; Department of Electrical and Computer Engineering, The Ohio State University, Columbus, OH, USA",2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),30 Sep 2025,2025,,,1,5,"Radio simultaneous localization and mapping (SLAM) with terrestrial signals of opportunity (SOPs) in a real-world GPS-denied environment is demonstrated. First, radio SLAM with known and unknown SOP maps is formulated. In the former case, the receiver's spatial states are estimated alongside the receiver-SOPs temporal states; while in the latter, the receiver's and SOPs' spatial states are estimated alongside the receiver-SOPs temporal states. Next, experimental results are presented of a vehicle navigating at Edwards Air Force Base, California, USA, while GPS signals were under intentional jamming. The vehicle exploited 7 terrestrial cellular SOP transmitters in the environment to navigate for 5 km in 180 seconds, with one of the SOPs more than 25 km away. Monte Carlo radio SLAM results with various levels of SOP position uncertainty are presented, from fully-known to poorly-known with 95% uncertainty ellipses of radii 7.8 m, 24.5 m, 77.4 m, and 245 m, achieving a 2D position position root-mean squared error (RMSE) of 2.6 m, 16.8, 23.6, 39.4 m, and 44.3 m, respectively.",2577-2465,979-8-3315-3147-8,10.1109/VTC2025-Spring65109.2025.11174336,National Science Foundation (NSF)(grant numbers:2240512);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11174336,SLAM;radio SLAM;navigation;positioning;localization;signals of opportunity;GNSS jamming,Location awareness;Vehicular and wireless technologies;Global navigation satellite system;Simultaneous localization and mapping;Uncertainty;Monte Carlo methods;Radio transmitters;Radio navigation;Jamming;Global Positioning System,,0,,33,IEEE,30 Sep 2025,17-20 June 2025,17-20 June 2025,IEEE,IEEE Conferences,"demonstration of radio slam with terrestrial signals of opportunity in a gps-denied environment radio simultaneous localization and mapping (slam) with terrestrial signals of opportunity (sops) in a real-world gps-denied environment is demonstrated. first, radio slam with known and unknown sop maps is formulated. in the former case, the receiver's spatial states are estimated alongside the receiver-sops temporal states; while in the latter, the receiver's and sops' spatial states are estimated alongside the receiver-sops temporal states. next, experimental results are presented of a vehicle navigating at edwards air force base, california, usa, while gps signals were under intentional jamming. the vehicle exploited 7 terrestrial cellular sop transmitters in the environment to navigate for 5 km in 180 seconds, with one of the sops more than 25 km away. monte carlo radio slam results with various levels of sop position uncertainty are presented, from fully-known to poorly-known with 95% uncertainty ellipses of radii 7.8 m, 24.5 m, 77.4 m, and 245 m, achieving a 2d position position root-mean squared error (rmse) of 2.6 m, 16.8, 23.6, 39.4 m, and 44.3 m, respectively. slam;radio slam;navigation;positioning;localization;signals of opportunity;gnss jamming location awareness;vehicular and wireless technologies;global navigation satellite system;simultaneous localization and mapping;uncertainty;monte carlo methods;radio transmitters;radio navigation;jamming;global positioning system",GNSS/GPS,,Spacecraft,Real-World,
